,Rainfall amount (millimetres),Date,Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m)
1690,0.0,2018-08-18,28.1,17.9
1691,0.0,2018-08-19,22.8,18.0
1692,0.0,2018-08-20,21.9,18.2
1693,0.0,2018-08-21,23.8,18.3
1694,0.0,2018-08-22,24.4,18.4
1695,0.0,2018-08-23,23.1,17.6
1696,0.0,2018-08-24,24.5,17.2
1697,0.8,2018-08-25,22.5,15.0
1698,11.2,2018-08-26,20.2,9.5
1699,10.6,2018-08-27,24.4,18.6
1700,0.2,2018-08-28,22.8,18.1
1701,0.0,2018-08-29,24.8,19.4
1702,0.0,2018-08-30,23.7,19.3
1703,0.0,2018-08-31,25.7,19.4
1704,0.0,2018-09-01,27.1,17.8
1705,0.0,2018-09-02,26.3,19.9
1706,0.0,2018-09-03,20.6,12.7
1707,0.4,2018-09-04,21.7,15.8
1708,9.4,2018-09-05,21.6,16.6
1709,0.0,2018-09-06,23.2,12.8
1710,0.4,2018-09-07,24.7,19.0
1711,1.2,2018-09-08,25.0,8.2
1712,2.0,2018-09-09,26.8,21.0
1713,0.0,2018-09-10,25.1,21.1
1714,0.0,2018-09-11,25.0,19.8
1715,0.0,2018-09-12,24.9,20.2
1716,0.0,2018-09-13,26.2,21.5
1717,0.0,2018-09-14,26.4,20.4
1718,0.0,2018-09-15,26.9,21.8
1719,0.0,2018-09-16,28.3,20.5
1720,0.0,2018-09-17,23.3,20.0
1721,0.0,2018-09-18,24.3,19.3
1722,0.0,2018-09-19,25.1,22.3
1723,0.0,2018-09-20,28.7,22.2
1724,0.0,2018-09-21,24.5,21.7
1725,0.0,2018-09-22,25.1,19.2
1726,0.0,2018-09-23,26.1,23.0
1727,0.0,2018-09-24,25.6,15.3
1728,0.0,2018-09-25,21.2,8.3
1729,,2018-09-26,23.7,18.9
1730,0.0,2018-09-27,24.2,14.5
1731,0.0,2018-09-28,26.8,21.8
1732,0.0,2018-09-29,28.9,20.0
1733,2.2,2018-09-30,20.8,7.2
1734,9.6,2018-10-01,24.3,23.0
1735,0.0,2018-10-02,24.7,21.8
1736,0.0,2018-10-03,26.0,24.1
1737,0.0,2018-10-04,26.1,24.6
1738,0.0,2018-10-05,25.3,11.7
1739,16.8,2018-10-06,22.4,10.7
1740,10.8,2018-10-07,24.1,16.2
1741,1.0,2018-10-08,27.5,24.0
1742,10.0,2018-10-09,26.3,18.0
1743,0.2,2018-10-10,28.5,25.4
1744,1.2,2018-10-11,25.5,9.5
1745,8.4,2018-10-12,,8.3
1746,16.2,2018-10-13,19.7,7.2
1747,16.0,2018-10-14,20.8,9.7
1748,44.8,2018-10-15,23.4,10.9
1749,23.8,2018-10-16,25.9,20.9
1750,1.2,2018-10-17,25.3,16.9
1751,4.8,2018-10-18,25.2,13.6
1752,0.4,2018-10-19,25.9,19.9
1753,0.0,2018-10-20,27.6,24.2
1754,0.8,2018-10-21,28.2,15.3
1755,8.2,2018-10-22,28.0,24.3
1756,0.0,2018-10-23,28.9,27.1
1757,0.0,2018-10-24,32.5,26.8
1758,0.0,2018-10-25,27.9,20.7
1759,0.6,2018-10-26,,27.9
1760,0.0,2018-10-27,28.6,27.5
1761,0.0,2018-10-28,30.3,21.8
1762,0.8,2018-10-29,,6.5
1763,3.6,2018-10-30,,22.3
1764,,2018-10-31,27.0,25.8
1765,0.0,2018-11-01,27.8,27.9
1766,0.0,2018-11-02,27.1,27.4
1767,0.0,2018-11-03,30.8,28.8
1768,0.0,2018-11-04,30.7,28.7
1769,0.0,2018-11-05,31.3,28.2
1770,0.0,2018-11-06,32.0,26.3
1771,0.0,2018-11-07,31.4,29.2
1772,0.6,2018-11-08,25.7,11.1
1773,0.0,2018-11-09,25.1,22.2
1774,0.0,2018-11-10,27.1,26.0
1775,0.0,2018-11-11,27.7,27.7
1776,0.0,2018-11-12,27.8,28.4
1777,0.0,2018-11-13,27.1,25.7
1778,0.0,2018-11-14,28.3,24.8
1779,0.0,2018-11-15,29.6,27.0
1780,0.0,2018-11-16,29.6,28.3
1781,0.0,2018-11-17,29.6,21.2
1782,2.8,2018-11-18,26.2,13.8
1783,0.2,2018-11-19,27.0,24.7
1784,0.0,2018-11-20,28.3,29.5
1785,0.0,2018-11-21,31.7,27.8
1786,2.8,2018-11-22,31.1,17.8
1787,6.2,2018-11-23,30.2,30.4
1788,0.0,2018-11-24,30.6,30.6
1789,0.0,2018-11-25,33.5,27.8
1790,0.2,2018-11-26,34.8,30.8
1791,0.0,2018-11-27,29.9,15.5
1792,0.6,2018-11-28,37.9,27.3
1793,0.0,2018-11-29,34.5,28.9
1794,0.0,2018-11-30,29.8,27.3
1795,0.0,2018-12-01,33.3,30.7
1796,0.0,2018-12-02,34.7,28.4
1797,0.0,2018-12-03,30.5,28.0
1798,0.0,2018-12-04,30.3,17.5
1799,0.6,2018-12-05,27.9,19.2
1800,0.0,2018-12-06,27.5,23.1
1801,0.0,2018-12-07,25.7,13.4
1802,0.0,2018-12-08,27.4,12.5
1803,0.0,2018-12-09,29.1,22.0
1804,0.0,2018-12-10,29.9,28.9
1805,0.0,2018-12-11,30.3,26.9
1806,0.0,2018-12-12,29.4,30.3
1807,0.0,2018-12-13,30.2,25.6
1808,0.0,2018-12-14,31.3,21.7
1809,3.0,2018-12-15,31.0,23.9
1810,9.0,2018-12-16,25.9,0.5
1811,32.6,2018-12-17,28.8,18.8
1812,2.8,2018-12-18,29.8,22.1
1813,0.0,2018-12-19,30.9,27.0
1814,0.0,2018-12-20,32.5,31.2
1815,0.0,2018-12-21,34.9,29.8
1816,3.0,2018-12-22,35.7,20.9
1817,0.0,2018-12-23,28.6,28.1
1818,0.0,2018-12-24,27.9,25.7
1819,0.2,2018-12-25,28.3,26.4
1820,0.0,2018-12-26,28.7,29.5
1821,0.0,2018-12-27,29.5,29.7
1822,0.0,2018-12-28,29.7,28.6
1823,0.0,2018-12-29,30.5,29.8
1824,0.0,2018-12-30,30.6,27.9
1825,0.0,2018-12-31,31.4,28.4
